bell_id,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,tuning_deviation_cents,n_strikes_used,n_strikes_total,tierce_type,church,bell_name,casting_year,material,founder,lat,lon,certainty
bamberg_cathedral,240.8203125,507.421875,606.7708333333334,807.421875,1005.3013392857143,343.0709875853819,29.419842936809697,1208.680666396723,1770.3820399188087,1825.9487868401222,6.527276746055039e-05,63.89638846563316,10,10,major,Bamberg Cathedral (Dom),Heinrichsglocke,1311.0,bronze,unknown,49.8917,10.8817,documented
dormplatz,152.34375,277.34375,377.34375,470.3480113636364,644.53125,298.63714388993185,27.980875770811455,675.2893299616113,1048.0419993721528,1185.029365671476,1.5557340172260108e-05,82.5131956424924,12,12,minor,Dormplatz / Obere Pfarre area bell,Kunigundenglocke,1200.0,bronze,unknown,49.892,10.881,approximate
evangelical_church,,79.1015625,93.75,129.8828125,154.85491071428572,431.72912465327806,23.003923813557872,1622.8475124025535,2791.4950376743554,3246.158936248625,9.898556663753388e-05,31.729124653278035,8,8,major,"Evangelical church (Bamberg, exact building not further verified)",Evangelistenglocke,1200.0,bronze,unknown,49.8945,10.8815,approximate - confirmed distinct from St. Stephan
gruner_markt,113.671875,142.578125,235.83984375,225.5859375,356.88920454545456,387.5361200626478,20.657519629318827,1003.7516511706776,1527.4396561039732,1592.2851740936849,4.654469679129155e-05,29.648372583673506,15,144,major,St. Martin (Grüner Markt),Schutzengelglocke,1628.0,bronze,Johannes Kopp,49.8918,10.8868,documented (re-recorded after duplicate-file issue)
karmelite_kloster,248.046875,423.046875,615.234375,811.5234375,1038.57421875,305.7766788345904,30.0,1694.3960822365748,1615.8092045169972,2839.8797314429257,0.002186547368546579,5.776678834590427,5,5,minor,Karmelitenkirche,unnamed,1921.0,cast steel,Bochumer Verein für Gussstahlfabrikation,49.8908,10.8801,documented
obere_pfarre,,82.68229166666667,152.34375,128.173828125,172.52604166666666,287.92827279815936,10.616463948659101,1440.9295804024325,2342.1238819815935,2699.298430849178,0.0002398722313551111,62.071727201840645,9,9,major,Obere Pfarrkirche,Türkenglocke,1521.0,bronze,Hans Zeitlos,49.8924,10.8839,documented
pestallozistrasse,175.78125,224.609375,400.9486607142857,292.43607954545456,519.140625,337.5578750252677,26.926686249721275,1451.0761383289819,2006.430268008756,2626.7427884615386,2.9661138038742745e-05,36.370320757863105,12,12,minor,Auferstehungskirche (Pestalozzistraße),Credoglocke,1960.0,bronze,Fa. Rincker,49.8794,10.8989,documented
st_heinrich,220.703125,192.70833333333334,341.796875,201.171875,184.5703125,358.72932744941613,23.81632460420722,1753.9387424459346,2907.526780953587,3589.188111041609,0.00010610366734905393,73.30067197365886,9,9,major,St. Heinrich,unnamed,1956.0,cast steel,Bochumer Verein für Gussstahlfabrikation,49.904081,10.909031,"documented (corrected: independent parish church, Eugen-Pacelli-Platz 1, previously misattributed to St. Michael)"
st_jakob,195.87053571428572,375.0,464.35546875,543.75,777.83203125,369.99671865385227,24.246752972112816,965.5783287323713,1125.7146079881313,1554.0236129011616,2.0604386634204275e-05,83.57968807604561,8,8,major,St. Jakob,Jakobusglocke,1350.0,bronze,unknown,49.8932,10.8857,approximate
st_michael,231.17897727272728,445.80078125,582.2088068181819,665.52734375,894.04296875,348.6538935560215,19.44266082863792,672.1881470897309,1310.439084044942,885.7021233974359,1.3815734575928218e-05,45.92585201058111,12,12,minor,St. Michael,Michaelsglocke,1614.0,bronze,Hans Pfeffer,49.8932,10.8776,documented
st_nicholas_church,69.66145833333333,140.625,178.125,203.125,283.984375,408.01755852982853,30.0,721.2767267328105,1120.295288862964,1147.8571428571427,1.3100154865242075e-05,40.366809660173054,15,285,major,St. Nikolaus,unnamed,,bronze,unknown,49.887,10.878,PROVISIONAL - unverified
st_stephan,171.09375,321.81490384615387,372.2956730769231,457.9326923076923,625.9765625,247.26456591591017,19.58332714195338,1270.2280939869138,1702.3328505779796,2191.2827860383295,6.310658906071072e-05,77.50038633019327,13,13,minor,St. Stephan,unnamed (session 1),1200.0,bronze,unknown,49.8941,10.8829,"approximate - two sessions confirmed as the same bell, merged for analysis"
